22
P;35172633;126598;3;18
P;35172633;145496;2;17
P;35172633;145213;1;17
P;35172633;136574;1;13
P;37949089;112564;1;12
P;88554469;112564;1;12
P;36085134;112564;10;12
P;26615604;112564;10;12
P;20298970;112564;10;12
P;17434273;112564;10;12
P;79068247;112564;10;12
P;97903620;112564;10;12
P;37978441;112564;10;12
P;82490961;113456;2;13
P;84148223;112564;2;12
P;60460787;111245;8;14
P;66221901;111245;1;14
P;86753762;111245;1;14
P;86753762;145213;1;17
P;30105069;112564;8;12
P;75625843;111245;5;14
P;56652893;113456;8;13
